,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,name,red,green,blue,red_edge,nir,field,date,class,season,crop,soil,path,binary_class,dataset_type
956,7306,7306,7306,IMG_0053_,IMG_0053_3_2_0137SET_registered.tif,IMG_0053_2_2_0137SET_registered.tif,IMG_0053_1_2_0137SET_registered.tif,IMG_0053_5_2_0137SET_registered.tif,IMG_0053_4_2_0137SET_registered.tif,Field81,2021-03-03,medium_blackgrass,mid,winter_wheat,type4,../data/Field81/2021-03-03/medium_blackgrass,blackgrass,train
467,15849,15849,15849,IMG_0095_,IMG_0095_3_3_0032SET_registered.tif,IMG_0095_2_3_0032SET_registered.tif,IMG_0095_1_3_0032SET_registered.tif,IMG_0095_5_3_0032SET_registered.tif,IMG_0095_4_3_0032SET_registered.tif,Field88,2021-03-25(HELDOUTDATASET),medium_blackgrass,mid,winter_wheat,type7,../data/Field88/2021-03-25(HELDOUTDATASET)/medium_blackgrass,blackgrass,train
426,3826,3826,3826,IMG_0026_,IMG_0026_3_0208SET_registered.tif,IMG_0026_2_0208SET_registered.tif,IMG_0026_1_0207SET_registered.tif,IMG_0026_5_0208SET_registered.tif,IMG_0026_4_0207SET_registered.tif,Field39,2020-11-26,medium_blackgrass,early,winter_wheat,type7,../data/Field39/2020-11-26/medium_blackgrass,blackgrass,train
1312,4238,4238,4238,IMG_0006_,IMG_0006_3_3_0003SET_registered.tif,IMG_0006_2_3_0003SET_registered.tif,IMG_0006_1_3_0003SET_registered.tif,IMG_0006_5_3_0003SET_registered.tif,IMG_0006_4_3_0003SET_registered.tif,Field39,2021-03-17,dense_blackgrass,mid,winter_wheat,type7,../data/Field39/2021-03-17/dense_blackgrass,blackgrass,train
326,14120,14120,14120,IMG_0012_,IMG_0012_3_3_0148SET_registered.tif,IMG_0012_2_3_0148SET_registered.tif,IMG_0012_1_3_0148SET_registered.tif,IMG_0012_5_3_0148SET_registered.tif,IMG_0012_4_3_0148SET_registered.tif,Field95,2021-04-28,medium_blackgrass,springcrop_mid,spring_barley,type8,../data/Field95/2021-04-28/medium_blackgrass,blackgrass,train
668,6299,6299,6299,IMG_0089_,IMG_0089_3_4_0076SET_registered.tif,IMG_0089_2_4_0076SET_registered.tif,IMG_0089_1_4_0076SET_registered.tif,IMG_0089_5_4_0076SET_registered.tif,IMG_0089_4_4_0076SET_registered.tif,Field38,2021-05-27,dense_blackgrass,late,winter_wheat,type7,../data/Field38/2021-05-27/dense_blackgrass,blackgrass,train
1276,1220,1220,1220,IMG_0057_,IMG_0057_3_3_0010SET_registered.tif,IMG_0057_2_3_0010SET_registered.tif,IMG_0057_1_3_0010SET_registered.tif,IMG_0057_5_3_0010SET_registered.tif,IMG_0057_4_3_0010SET_registered.tif,Field14,2021-03-19(HELDOUTDATASET),medium_blackgrass,mid,winter_wheat,type6,../data/Field14/2021-03-19(HELDOUTDATASET)/medium_blackgrass,blackgrass,train
799,15387,15387,15387,IMG_0043_,IMG_0043_3_0240SET_registered.tif,IMG_0043_2_0240SET_registered.tif,IMG_0043_1_0240SET_registered.tif,IMG_0043_5_0240SET_registered.tif,IMG_0043_4_0240SET_registered.tif,Field48,2020-12-16,dense_blackgrass,early,winter_barley,type7,../data/Field48/2020-12-16/dense_blackgrass,blackgrass,train
359,2375,2375,2375,IMG_0081_,IMG_0081_3_0198SET_registered.tif,IMG_0081_2_0198SET_registered.tif,IMG_0081_1_0198SET_registered.tif,IMG_0081_5_0198SET_registered.tif,IMG_0081_4_0198SET_registered.tif,Field35,2020-11-24,medium_blackgrass,early,winter_barley,type4,../data/Field35/2020-11-24/medium_blackgrass,blackgrass,train
99,6614,6614,6614,IMG_0035_,IMG_0035_3_2_0155SET_registered.tif,IMG_0035_2_2_0155SET_registered.tif,IMG_0035_1_2_0155SET_registered.tif,IMG_0035_5_2_0155SET_registered.tif,IMG_0035_4_2_0155SET_registered.tif,Field38,2021-03-17,dense_blackgrass,mid,winter_wheat,type7,../data/Field38/2021-03-17/dense_blackgrass,blackgrass,train
