,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,name,red,green,blue,red_edge,nir,field,date,class,season,crop,soil,path,binary_class,dataset_type
65,215,345,405,7227,7227,7227,IMG_0002_,IMG_0002_3_3_0189SET_registered.tif,IMG_0002_2_3_0189SET_registered.tif,IMG_0002_1_3_0189SET_registered.tif,IMG_0002_5_3_0189SET_registered.tif,IMG_0002_4_3_0189SET_registered.tif,Field81,2021-05-13,medium_blackgrass,late,winter_wheat,type4,../data/Field81/2021-05-13/medium_blackgrass,blackgrass,train
124,279,125,989,7608,7608,7608,IMG_0084_,IMG_0084_3_3_0055SET_registered.tif,IMG_0084_2_3_0055SET_registered.tif,IMG_0084_1_3_0055SET_registered.tif,IMG_0084_5_3_0055SET_registered.tif,IMG_0084_4_3_0055SET_registered.tif,Field46,2021-04-16,medium_blackgrass,mid,winter_wheat,type7,../data/Field46/2021-04-16/medium_blackgrass,blackgrass,train
157,271,306,466,11627,11627,11627,IMG_0156_,IMG_0156_3_0142SET_registered.tif,IMG_0156_2_0142SET_registered.tif,IMG_0156_1_0142SET_registered.tif,IMG_0156_5_0142SET_registered.tif,IMG_0156_4_0142SET_registered.tif,Field12,2020-11-03,dense_blackgrass,early,triticale,type6,../data/Field12/2020-11-03/dense_blackgrass,blackgrass,train
171,87,43,579,8709,8709,8709,IMG_0050_,IMG_0050_3_0166SET_registered.tif,IMG_0050_2_0165SET_registered.tif,IMG_0050_1_0165SET_registered.tif,IMG_0050_5_0166SET_registered.tif,IMG_0050_4_0165SET_registered.tif,Field23,2020-11-11,dense_blackgrass,early,winter_wheat,type7,../data/Field23/2020-11-11/dense_blackgrass,blackgrass,train
41,236,713,284,1089,1089,1089,IMG_0094_,IMG_0094_3_0144SET_registered.tif,IMG_0094_2_0144SET_registered.tif,IMG_0094_1_0144SET_registered.tif,IMG_0094_5_0144SET_registered.tif,IMG_0094_4_0144SET_registered.tif,Field14,2020-11-04,medium_blackgrass,early,winter_wheat,type6,../data/Field14/2020-11-04/medium_blackgrass,blackgrass,train
161,353,540,720,3290,3290,3290,IMG_0067_,IMG_0067_3_0160SET_registered.tif,IMG_0067_2_0160SET_registered.tif,IMG_0067_1_0160SET_registered.tif,IMG_0067_5_0160SET_registered.tif,IMG_0067_4_0160SET_registered.tif,Field16,2020-11-10,dense_blackgrass,early,winter_wheat,type7,../data/Field16/2020-11-10/dense_blackgrass,blackgrass,train
167,310,430,1295,7145,7145,7145,IMG_0017_,IMG_0017_3_3_0183SET_registered.tif,IMG_0017_2_3_0183SET_registered.tif,IMG_0017_1_3_0183SET_registered.tif,IMG_0017_5_3_0183SET_registered.tif,IMG_0017_4_3_0183SET_registered.tif,Field70,2021-05-12,dense_blackgrass,late,winter_wheat,type7,../data/Field70/2021-05-12/dense_blackgrass,blackgrass,train
77,119,349,378,8659,8659,8659,IMG_0099_,IMG_0099_3_0166SET_registered.tif,IMG_0099_2_0166SET_registered.tif,IMG_0099_1_0166SET_registered.tif,IMG_0099_5_0166SET_registered.tif,IMG_0099_4_0166SET_registered.tif,Field23,2020-11-11,dense_blackgrass,early,winter_wheat,type7,../data/Field23/2020-11-11/dense_blackgrass,blackgrass,train
82,274,476,267,15393,15393,15393,IMG_0005_,IMG_0005_3_0240SET_registered.tif,IMG_0005_2_0240SET_registered.tif,IMG_0005_1_0240SET_registered.tif,IMG_0005_5_0240SET_registered.tif,IMG_0005_4_0240SET_registered.tif,Field48,2020-12-16,dense_blackgrass,early,winter_barley,type7,../data/Field48/2020-12-16/dense_blackgrass,blackgrass,train
43,345,440,399,15323,15323,15323,IMG_0086_,IMG_0086_3_0238SET_registered.tif,IMG_0086_2_0238SET_registered.tif,IMG_0086_1_0238SET_registered.tif,IMG_0086_5_0238SET_registered.tif,IMG_0086_4_0238SET_registered.tif,Field48,2020-12-16,medium_blackgrass,early,winter_barley,type7,../data/Field48/2020-12-16/medium_blackgrass,blackgrass,train
70,6,193,53,6396,6396,6396,IMG_0031_,IMG_0031_3_4_0076SET_registered.tif,IMG_0031_2_4_0076SET_registered.tif,IMG_0031_1_4_0076SET_registered.tif,IMG_0031_5_4_0076SET_registered.tif,IMG_0031_4_4_0076SET_registered.tif,Field38,2021-05-27,dense_blackgrass,late,winter_wheat,type7,../data/Field38/2021-05-27/dense_blackgrass,blackgrass,train
26,280,613,831,3382,3382,3382,IMG_0066_,IMG_0066_3_3_0194SET_registered.tif,IMG_0066_2_3_0194SET_registered.tif,IMG_0066_1_3_0194SET_registered.tif,IMG_0066_5_3_0194SET_registered.tif,IMG_0066_4_3_0194SET_registered.tif,Field76,2021-05-13,dense_blackgrass,late,winter_wheat,type4,../data/Field76/2021-05-13/dense_blackgrass,blackgrass,train
120,355,187,779,878,878,878,IMG_0120_,IMG_0120_3_4_0037SET_registered.tif,IMG_0120_2_4_0037SET_registered.tif,IMG_0120_1_4_0037SET_registered.tif,IMG_0120_5_4_0037SET_registered.tif,IMG_0120_4_4_0037SET_registered.tif,Field14,2021-05-19,medium_blackgrass,late,winter_wheat,type6,../data/Field14/2021-05-19/medium_blackgrass,blackgrass,train
105,270,535,593,817,817,817,IMG_0011_,IMG_0011_3_4_0037SET_registered.tif,IMG_0011_2_4_0037SET_registered.tif,IMG_0011_1_4_0037SET_registered.tif,IMG_0011_5_4_0037SET_registered.tif,IMG_0011_4_4_0037SET_registered.tif,Field14,2021-05-19,medium_blackgrass,late,winter_wheat,type6,../data/Field14/2021-05-19/medium_blackgrass,blackgrass,train
141,101,163,18,848,848,848,IMG_0206_,IMG_0206_3_4_0037SET_registered.tif,IMG_0206_2_4_0037SET_registered.tif,IMG_0206_1_4_0037SET_registered.tif,IMG_0206_5_4_0037SET_registered.tif,IMG_0206_4_4_0037SET_registered.tif,Field14,2021-05-19,medium_blackgrass,late,winter_wheat,type6,../data/Field14/2021-05-19/medium_blackgrass,blackgrass,train
7,164,90,565,7115,7115,7115,IMG_0176_,IMG_0176_3_3_0183SET_registered.tif,IMG_0176_2_3_0183SET_registered.tif,IMG_0176_1_3_0183SET_registered.tif,IMG_0176_5_3_0183SET_registered.tif,IMG_0176_4_3_0183SET_registered.tif,Field70,2021-05-12,dense_blackgrass,late,winter_wheat,type7,../data/Field70/2021-05-12/dense_blackgrass,blackgrass,train
22,123,627,434,4180,4180,4180,IMG_0042_,IMG_0042_3_3_0004SET_registered.tif,IMG_0042_2_3_0004SET_registered.tif,IMG_0042_1_3_0004SET_registered.tif,IMG_0042_5_3_0004SET_registered.tif,IMG_0042_4_3_0004SET_registered.tif,Field39,2021-03-17,medium_blackgrass,mid,winter_wheat,type7,../data/Field39/2021-03-17/medium_blackgrass,blackgrass,train
152,166,363,1404,15505,15505,15505,IMG_0020_,IMG_0020_3_3_0059SET_registered.tif,IMG_0020_2_3_0059SET_registered.tif,IMG_0020_1_3_0059SET_registered.tif,IMG_0020_5_3_0059SET_registered.tif,IMG_0020_4_3_0059SET_registered.tif,Field48,2021-04-16,medium_blackgrass,mid,winter_wheat,type7,../data/Field48/2021-04-16/medium_blackgrass,blackgrass,train
