,Unnamed: 0,Unnamed: 0.1,name,red,green,blue,red_edge,nir,field,date,class,season,crop,soil,path,binary_class,dataset_type
6895,6895,6895,IMG_0034_,IMG_0034_3_3_0181SET_registered.tif,IMG_0034_2_3_0181SET_registered.tif,IMG_0034_1_3_0181SET_registered.tif,IMG_0034_5_3_0181SET_registered.tif,IMG_0034_4_3_0181SET_registered.tif,Field70,2021-05-12,medium_blackgrass,late,winter_wheat,type7,../data/Field70/2021-05-12/medium_blackgrass,blackgrass,train
5533,5533,5533,IMG_0074_,IMG_0074_3_0181SET_registered.tif,IMG_0074_2_0181SET_registered.tif,IMG_0074_1_0181SET_registered.tif,IMG_0074_5_0181SET_registered.tif,IMG_0074_4_0181SET_registered.tif,Field29,2020-11-17,medium_blackgrass,early,winter_wheat,type2,../data/Field29/2020-11-17/medium_blackgrass,blackgrass,train
3176,3176,3176,IMG_0068_,IMG_0068_3_0161SET_registered.tif,IMG_0068_2_0161SET_registered.tif,IMG_0068_1_0161SET_registered.tif,IMG_0068_5_0161SET_registered.tif,IMG_0068_4_0161SET_registered.tif,Field16,2020-11-10,medium_blackgrass,early,winter_wheat,type7,../data/Field16/2020-11-10/medium_blackgrass,blackgrass,train
11589,11589,11589,IMG_0088_,IMG_0088_3_0141SET_registered.tif,IMG_0088_2_0142SET_registered.tif,IMG_0088_1_0142SET_registered.tif,IMG_0088_5_0141SET_registered.tif,IMG_0088_4_0141SET_registered.tif,Field12,2020-11-03,dense_blackgrass,early,triticale,type6,../data/Field12/2020-11-03/dense_blackgrass,blackgrass,train
3042,3042,3042,IMG_0053_,IMG_0053_3_0148SET_registered.tif,IMG_0053_2_0149SET_registered.tif,IMG_0053_1_0148SET_registered.tif,IMG_0053_5_0148SET_registered.tif,IMG_0053_4_0148SET_registered.tif,Field16,2020-11-05,medium_blackgrass,early,winter_wheat,type7,../data/Field16/2020-11-05/medium_blackgrass,blackgrass,train
10971,10971,10971,IMG_0069_,IMG_0069_3_3_0193SET_registered.tif,IMG_0069_2_3_0193SET_registered.tif,IMG_0069_1_3_0193SET_registered.tif,IMG_0069_5_3_0193SET_registered.tif,IMG_0069_4_3_0193SET_registered.tif,Field77,2021-05-13,medium_blackgrass,late,winter_wheat,type4,../data/Field77/2021-05-13/medium_blackgrass,blackgrass,train
1097,1097,1097,IMG_0098_,IMG_0098_3_0144SET_registered.tif,IMG_0098_2_0144SET_registered.tif,IMG_0098_1_0144SET_registered.tif,IMG_0098_5_0144SET_registered.tif,IMG_0098_4_0144SET_registered.tif,Field14,2020-11-04,medium_blackgrass,early,winter_wheat,type6,../data/Field14/2020-11-04/medium_blackgrass,blackgrass,train
6945,6945,6945,IMG_0012_,IMG_0012_3_3_0181SET_registered.tif,IMG_0012_2_3_0181SET_registered.tif,IMG_0012_1_3_0181SET_registered.tif,IMG_0012_5_3_0181SET_registered.tif,IMG_0012_4_3_0181SET_registered.tif,Field70,2021-05-12,medium_blackgrass,late,winter_wheat,type7,../data/Field70/2021-05-12/medium_blackgrass,blackgrass,train
743,743,743,IMG_0051_,IMG_0051_3_4_0037SET_registered.tif,IMG_0051_2_4_0037SET_registered.tif,IMG_0051_1_4_0037SET_registered.tif,IMG_0051_5_4_0037SET_registered.tif,IMG_0051_4_4_0037SET_registered.tif,Field14,2021-05-19,medium_blackgrass,late,winter_wheat,type6,../data/Field14/2021-05-19/medium_blackgrass,blackgrass,train
11044,11044,11044,IMG_0029_,IMG_0029_3_2_0132SET_registered.tif,IMG_0029_2_2_0132SET_registered.tif,IMG_0029_1_2_0132SET_registered.tif,IMG_0029_5_2_0132SET_registered.tif,IMG_0029_4_2_0132SET_registered.tif,Field77,2021-03-03,dense_blackgrass,mid,winter_wheat,type4,../data/Field77/2021-03-03/dense_blackgrass,blackgrass,train
6249,6249,6249,IMG_0105_,IMG_0105_3_4_0077SET_registered.tif,IMG_0105_2_4_0077SET_registered.tif,IMG_0105_1_4_0077SET_registered.tif,IMG_0105_5_4_0077SET_registered.tif,IMG_0105_4_4_0077SET_registered.tif,Field38,2021-05-27,medium_blackgrass,late,winter_wheat,type7,../data/Field38/2021-05-27/medium_blackgrass,blackgrass,train
