,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,name,red,green,blue,red_edge,nir,field,date,class,season,crop,soil,path,binary_class,dataset_type
68,703,2712,2712,2712,IMG_0018_,IMG_0018_3_2_0098SET_registered.tif,IMG_0018_2_2_0097SET_registered.tif,IMG_0018_1_2_0097SET_registered.tif,IMG_0018_5_2_0098SET_registered.tif,IMG_0018_4_2_0097SET_registered.tif,Field16,2021-02-16,medium_blackgrass,mid,winter_wheat,type7,../data/Field16/2021-02-16/medium_blackgrass,blackgrass,train
67,1098,8306,8306,8306,IMG_0011_,IMG_0011_3_4_0073SET_registered.tif,IMG_0011_2_4_0073SET_registered.tif,IMG_0011_1_4_0073SET_registered.tif,IMG_0011_5_4_0073SET_registered.tif,IMG_0011_4_4_0073SET_registered.tif,Field73,2021-05-26,dense_blackgrass,late,winter_wheat,type8,../data/Field73/2021-05-26/dense_blackgrass,blackgrass,train
340,1382,672,672,672,IMG_0034_,IMG_0034_3_0186SET_registered.tif,IMG_0034_2_0185SET_registered.tif,IMG_0034_1_0185SET_registered.tif,IMG_0034_5_0186SET_registered.tif,IMG_0034_4_0185SET_registered.tif,Field14,2020-11-18,medium_blackgrass,early,winter_wheat,type6,../data/Field14/2020-11-18/medium_blackgrass,blackgrass,train
258,913,13682,13682,13682,IMG_0010_,IMG_0010_3_3_0043SET_registered.tif,IMG_0010_2_3_0043SET_registered.tif,IMG_0010_1_3_0043SET_registered.tif,IMG_0010_5_3_0043SET_registered.tif,IMG_0010_4_3_0043SET_registered.tif,Field42,2021-04-15(HELDOUTDATASET),dense_blackgrass,mid,winter_wheat,type3,../data/Field42/2021-04-15(HELDOUTDATASET)/dense_blackgrass,blackgrass,train
266,574,4165,4165,4165,IMG_0045_,IMG_0045_3_3_0004SET_registered.tif,IMG_0045_2_3_0004SET_registered.tif,IMG_0045_1_3_0004SET_registered.tif,IMG_0045_5_3_0004SET_registered.tif,IMG_0045_4_3_0004SET_registered.tif,Field39,2021-03-17,medium_blackgrass,mid,winter_wheat,type7,../data/Field39/2021-03-17/medium_blackgrass,blackgrass,train
341,304,942,942,942,IMG_0098_,IMG_0098_3_4_0037SET_registered.tif,IMG_0098_2_4_0037SET_registered.tif,IMG_0098_1_4_0037SET_registered.tif,IMG_0098_5_4_0037SET_registered.tif,IMG_0098_4_4_0037SET_registered.tif,Field14,2021-05-19,medium_blackgrass,late,winter_wheat,type6,../data/Field14/2021-05-19/medium_blackgrass,blackgrass,train
193,53,6396,6396,6396,IMG_0031_,IMG_0031_3_4_0076SET_registered.tif,IMG_0031_2_4_0076SET_registered.tif,IMG_0031_1_4_0076SET_registered.tif,IMG_0031_5_4_0076SET_registered.tif,IMG_0031_4_4_0076SET_registered.tif,Field38,2021-05-27,dense_blackgrass,late,winter_wheat,type7,../data/Field38/2021-05-27/dense_blackgrass,blackgrass,train
181,787,11963,11963,11963,IMG_0059_,IMG_0059_3_2_0012SET_registered.tif,IMG_0059_2_2_0014SET_registered.tif,IMG_0059_1_2_0012SET_registered.tif,IMG_0059_5_2_0014SET_registered.tif,IMG_0059_4_2_0014SET_registered.tif,Field50,2021-01-18,medium_blackgrass,early,winter_barley,type1,../data/Field50/2021-01-18/medium_blackgrass,blackgrass,train
199,1201,7786,7786,7786,IMG_0016_,IMG_0016_3_3_0175SET_registered.tif,IMG_0016_2_3_0175SET_registered.tif,IMG_0016_1_3_0175SET_registered.tif,IMG_0016_5_3_0175SET_registered.tif,IMG_0016_4_3_0176SET_registered.tif,Field65,2021-05-05,medium_blackgrass,mid,winter_wheat,type7,../data/Field65/2021-05-05/medium_blackgrass,blackgrass,train
143,1285,7341,7341,7341,IMG_0052_,IMG_0052_3_2_0137SET_registered.tif,IMG_0052_2_2_0137SET_registered.tif,IMG_0052_1_2_0137SET_registered.tif,IMG_0052_5_2_0137SET_registered.tif,IMG_0052_4_2_0137SET_registered.tif,Field81,2021-03-03,medium_blackgrass,mid,winter_wheat,type4,../data/Field81/2021-03-03/medium_blackgrass,blackgrass,train
264,250,3023,3023,3023,IMG_0032_,IMG_0032_3_0148SET_registered.tif,IMG_0032_2_0148SET_registered.tif,IMG_0032_1_0149SET_registered.tif,IMG_0032_5_0149SET_registered.tif,IMG_0032_4_0149SET_registered.tif,Field16,2020-11-05,medium_blackgrass,early,winter_wheat,type7,../data/Field16/2020-11-05/medium_blackgrass,blackgrass,train
359,1152,834,834,834,IMG_0168_,IMG_0168_3_4_0037SET_registered.tif,IMG_0168_2_4_0037SET_registered.tif,IMG_0168_1_4_0037SET_registered.tif,IMG_0168_5_4_0037SET_registered.tif,IMG_0168_4_4_0037SET_registered.tif,Field14,2021-05-19,medium_blackgrass,late,winter_wheat,type6,../data/Field14/2021-05-19/medium_blackgrass,blackgrass,train
185,387,15280,15280,15280,IMG_0103_,IMG_0103_3_0238SET_registered.tif,IMG_0103_2_0238SET_registered.tif,IMG_0103_1_0238SET_registered.tif,IMG_0103_5_0238SET_registered.tif,IMG_0103_4_0238SET_registered.tif,Field48,2020-12-16,medium_blackgrass,early,winter_barley,type7,../data/Field48/2020-12-16/medium_blackgrass,blackgrass,train
201,97,646,646,646,IMG_0059_,IMG_0059_3_0185SET_registered.tif,IMG_0059_2_0186SET_registered.tif,IMG_0059_1_0185SET_registered.tif,IMG_0059_5_0186SET_registered.tif,IMG_0059_4_0185SET_registered.tif,Field14,2020-11-18,medium_blackgrass,early,winter_wheat,type6,../data/Field14/2020-11-18/medium_blackgrass,blackgrass,train
527,742,8293,8293,8293,IMG_0091_,IMG_0091_3_4_0073SET_registered.tif,IMG_0091_2_4_0073SET_registered.tif,IMG_0091_1_4_0073SET_registered.tif,IMG_0091_5_4_0073SET_registered.tif,IMG_0091_4_4_0073SET_registered.tif,Field73,2021-05-26,dense_blackgrass,late,winter_wheat,type8,../data/Field73/2021-05-26/dense_blackgrass,blackgrass,train
635,1094,4229,4229,4229,IMG_0002_,IMG_0002_3_3_0003SET_registered.tif,IMG_0002_2_3_0003SET_registered.tif,IMG_0002_1_3_0003SET_registered.tif,IMG_0002_5_3_0003SET_registered.tif,IMG_0002_4_3_0003SET_registered.tif,Field39,2021-03-17,dense_blackgrass,mid,winter_wheat,type7,../data/Field39/2021-03-17/dense_blackgrass,blackgrass,train
364,176,2380,2380,2380,IMG_0068_,IMG_0068_3_0198SET_registered.tif,IMG_0068_2_0198SET_registered.tif,IMG_0068_1_0198SET_registered.tif,IMG_0068_5_0198SET_registered.tif,IMG_0068_4_0198SET_registered.tif,Field35,2020-11-24,medium_blackgrass,early,winter_barley,type4,../data/Field35/2020-11-24/medium_blackgrass,blackgrass,train
206,1358,230,230,230,IMG_0081_,IMG_0081_3_2_0133SET_registered.tif,IMG_0081_2_2_0133SET_registered.tif,IMG_0081_1_2_0133SET_registered.tif,IMG_0081_5_2_0133SET_registered.tif,IMG_0081_4_2_0133SET_registered.tif,Field78,2021-03-03,medium_blackgrass,mid,winter_barley,type4,../data/Field78/2021-03-03/medium_blackgrass,blackgrass,train
330,367,696,696,696,IMG_0064_,IMG_0064_3_0186SET_registered.tif,IMG_0064_2_0185SET_registered.tif,IMG_0064_1_0186SET_registered.tif,IMG_0064_5_0186SET_registered.tif,IMG_0064_4_0186SET_registered.tif,Field14,2020-11-18,medium_blackgrass,early,winter_wheat,type6,../data/Field14/2020-11-18/medium_blackgrass,blackgrass,train
689,555,7074,7074,7074,IMG_0128_,IMG_0128_3_3_0183SET_registered.tif,IMG_0128_2_3_0183SET_registered.tif,IMG_0128_1_3_0183SET_registered.tif,IMG_0128_5_3_0183SET_registered.tif,IMG_0128_4_3_0183SET_registered.tif,Field70,2021-05-12,dense_blackgrass,late,winter_wheat,type7,../data/Field70/2021-05-12/dense_blackgrass,blackgrass,train
46,904,2671,2671,2671,IMG_0060_,IMG_0060_3_2_0097SET_registered.tif,IMG_0060_2_2_0097SET_registered.tif,IMG_0060_1_2_0098SET_registered.tif,IMG_0060_5_2_0098SET_registered.tif,IMG_0060_4_2_0097SET_registered.tif,Field16,2021-02-16,medium_blackgrass,mid,winter_wheat,type7,../data/Field16/2021-02-16/medium_blackgrass,blackgrass,train
31,931,8843,8843,8843,IMG_0104_,IMG_0104_3_3_0187SET_registered.tif,IMG_0104_2_3_0187SET_registered.tif,IMG_0104_1_3_0187SET_registered.tif,IMG_0104_5_3_0187SET_registered.tif,IMG_0104_4_3_0187SET_registered.tif,Field23,2021-05-12,medium_blackgrass,late,winter_wheat,type7,../data/Field23/2021-05-12/medium_blackgrass,blackgrass,train
698,1254,11104,11104,11104,IMG_0078_,IMG_0078_3_2_0132SET_registered.tif,IMG_0078_2_2_0132SET_registered.tif,IMG_0078_1_2_0132SET_registered.tif,IMG_0078_5_2_0132SET_registered.tif,IMG_0078_4_2_0132SET_registered.tif,Field77,2021-03-03,dense_blackgrass,mid,winter_wheat,type4,../data/Field77/2021-03-03/dense_blackgrass,blackgrass,train
699,978,5719,5719,5719,IMG_0045_,IMG_0045_3_2_0065SET_registered.tif,IMG_0045_2_2_0065SET_registered.tif,IMG_0045_1_2_0065SET_registered.tif,IMG_0045_5_2_0065SET_registered.tif,IMG_0045_4_2_0065SET_registered.tif,Field29,2021-01-29,medium_blackgrass,mid,winter_wheat,type2,../data/Field29/2021-01-29/medium_blackgrass,blackgrass,train
683,965,6278,6278,6278,IMG_0020_,IMG_0020_3_4_0077SET_registered.tif,IMG_0020_2_4_0077SET_registered.tif,IMG_0020_1_4_0077SET_registered.tif,IMG_0020_5_4_0077SET_registered.tif,IMG_0020_4_4_0077SET_registered.tif,Field38,2021-05-27,medium_blackgrass,late,winter_wheat,type7,../data/Field38/2021-05-27/medium_blackgrass,blackgrass,train
166,373,6647,6647,6647,IMG_0013_,IMG_0013_3_2_0155SET_registered.tif,IMG_0013_2_2_0155SET_registered.tif,IMG_0013_1_2_0155SET_registered.tif,IMG_0013_5_2_0155SET_registered.tif,IMG_0013_4_2_0155SET_registered.tif,Field38,2021-03-17,dense_blackgrass,mid,winter_wheat,type7,../data/Field38/2021-03-17/dense_blackgrass,blackgrass,train
110,620,12800,12800,12800,IMG_0050_,IMG_0050_3_4_0086SET_registered.tif,IMG_0050_2_4_0086SET_registered.tif,IMG_0050_1_4_0086SET_registered.tif,IMG_0050_5_4_0086SET_registered.tif,IMG_0050_4_4_0086SET_registered.tif,Field109,2021-06-03,dense_blackgrass,late,winter_wheat,type7,../data/Field109/2021-06-03/dense_blackgrass,blackgrass,train
65,1055,9146,9146,9146,IMG_0072_,IMG_0072_3_2_0114SET_registered.tif,IMG_0072_2_2_0114SET_registered.tif,IMG_0072_1_2_0114SET_registered.tif,IMG_0072_5_2_0114SET_registered.tif,IMG_0072_4_2_0114SET_registered.tif,Field25,2021-02-19,medium_blackgrass,mid,winter_wheat,type7,../data/Field25/2021-02-19/medium_blackgrass,blackgrass,train
278,533,11622,11622,11622,IMG_0091_,IMG_0091_3_0141SET_registered.tif,IMG_0091_2_0141SET_registered.tif,IMG_0091_1_0141SET_registered.tif,IMG_0091_5_0142SET_registered.tif,IMG_0091_4_0141SET_registered.tif,Field12,2020-11-03,dense_blackgrass,early,triticale,type6,../data/Field12/2020-11-03/dense_blackgrass,blackgrass,train
